fieldname,ot_field,type,value
"deeplink","","custom","deeplink"
"nextag_deeplink","deeplink","append","?utm_source=Nextag&utm_medium=cost-per-click"
"google_deeplink","deeplink","append","?utm_source=googlebase&utm_medium=Free_clicks"
"webgains_deeplink","deeplink","append","?utm_source=google&utm_medium=CPA"
"dooyoo_deeplink","deeplink","append","?utm_source=leguide&utm_medium=cost-per-impression"
"image_thumbnail","","custom","image_thumbnail"
"image_large","","custom","image_large"
"quantity","","new","1"
"availability","availability","new","In Stock"
"id","productid","copy",""
"link","deeplink","copy",""
"title","productname","copy",""
"category","google_product_category","copy",""
"description","","custom","description"